Дата;Чемпионат;Дома;Гости;Счет хозяев;Счет гостей;Ожидаемые голы (xG) Дома;Ожидаемые голы (xG) Гости;xG в створ (xGOT) Дома;xG в створ (xGOT) Гости;Владение мячом Дома;Владение мячом Гости;Удары в створ Дома;Удары в створ Гости;Угловые Дома;Угловые Гости;Желтые карточки Дома;Желтые карточки Гости;Красные карточки Дома;Красные карточки Гости;Коэффициенты П1;Коэффициенты Н;Коэффициенты П2;Исход;Победы дома;Ничьи дома;Поражения дома;Забито дома;Пропущено дома;xGOT дома;xGAOT дома;Атака дома;Защита дома;Ожидаемые голы OG дома;Везение дома;Победы гости;Ничьи гости;Поражения гости;Забито гости;Пропущено гости;xGOT гости;xGAOT гости;Атака Гостей;Защита Гостей;Ожидаемые голы OG гостей;Везение Гостей;Победы дома форма;Ничьи дома форма;Поражения дома форма;Забито дома форма;Пропущено дома форма;xGOT дома форма;xGAOT дома форма;Атака дома форма;Защита дома форма;Ожидаемые голы OG дома форма;Везение дома форма;Победы гости форма;Ничьи гости форма;Поражения гости форма;Забито гости форма;Пропущено гости форма;xGOT гости форма;xGAOT гости форма;Атака Гостей форма;Защита Гостей форма;Ожидаемые голы OG гостей форма;Везение Гостей форма
22.11.2025;АнглияПремьер-лига - Тур 12;Бёрнли;Челси;;;;;;;;;;;;;;;;;5.4;4.2;1.58;;2;1;2;5;4;3.77;6.44;0.422952479;1.304290824;1.211213593;0.246;3;1;1;12;5;13.27;5.2;0.79305776;1.890238168;1.173548812;-0.254;2;0;2;8;9;5.7;10.49;0.684189452;1.893038952;0.551429097;0.46;4;0;3;10;6;11.16;3.25;1.394878828;0.576467819;3.691766873;-0.232
22.11.2025;АнглияПремьер-лига - Тур 12;Фулхэм;Сандерленд;;;;;;;;;;;;;;;;;2.09;3.46;3.78;;3;1;1;8;3;5.03;3.47;0.609351127;0.600112565;0.504316168;0.594;2;1;2;3;5;4.09;7.7;1.315659851;0.546289232;0.895773565;-0.218;1;0;3;5;9;6.58;6.93;0.738571397;0.933239854;0.710239598;-0.316;2;2;1;7;4;4.93;5.46;1.416436026;0.68781899;1.848112808;0.414
22.11.2025;АнглияПремьер-лига - Тур 12;Ливерпуль;Ноттингем Форест;;;;;;;;;;;;;;;;;1.46;4.6;7.62;;4;0;1;10;5;7.83;3.3;1.03141616;0.690638143;0.954607992;0.434;0;2;3;2;9;2.86;8.56;2.255252158;0.610911783;1.767126206;-0.172;1;0;3;6;9;6.42;7.63;1.399771177;0.992422197;2.099977549;-0.084;1;1;2;5;10;6.59;8.9;0.784158143;1.073048543;1.088023716;-0.318
22.11.2025;АнглияПремьер-лига - Тур 12;Вулверхэмптон;Кристал Пэлас;;;;;;;;;;;;;;;;;4.54;3.84;1.82;;0;1;4;6;14;6.17;9.74;0.687664063;1.980766624;0.935024983;-0.034;2;1;2;6;4;5.95;6.86;1.475556963;0.897499578;3.315974556;0.01;0;1;4;3;12;3.34;8.67;0.384960707;1.107569473;0.560042092;-0.068;1;2;1;6;7;7.55;7.53;1.298324445;1.040557373;2.010446158;-0.31
22.11.2025;АнглияПремьер-лига - Тур 12;Брайтон;Брентфорд;;;;;;;;;;;;;;;;;2.2;3.48;3.48;;3;2;0;10;5;11.28;5.32;1.505576938;1.174278105;2.297879633;-0.256;1;0;4;5;10;6.33;5.38;1.013391941;1.0074226;1.350113593;-0.266;2;2;2;8;6;9.39;6.58;0.985227787;0.961928963;0.82731534;-0.278;3;0;1;8;6;7.99;3.95;1.022068281;0.600615021;1.374551917;0.002
22.11.2025;АнглияПремьер-лига - Тур 12;Борнмут;Вест Хэм;;;;;;;;;;;;;;;;;1.7;4.22;4.89;;4;1;0;8;2;5.05;3.49;0.610596113;0.837625904;0.770963593;0.59;1;1;3;5;8;5.9;6.13;2.266998365;0.833426302;2.154384455;-0.18;2;1;2;9;11;7.77;9.48;1.563839717;1.40094365;2.729184685;0.246;2;0;3;7;10;6.22;8.52;0.65100969;1.248252518;1.275106194;0.156
22.11.2025;АнглияПремьер-лига - Тур 12;Ньюкасл Юнайтед;Манчестер Сити;;;;;;;;;;;;;;;;;4.13;3.83;1.9;;3;0;2;8;6;10.54;8.31;1.508200895;1.449554194;1.535533171;-0.508;2;1;2;7;4;5.3;6.08;1.558784114;0.672028011;2.563553162;0.34;2;0;2;7;5;8.06;9.07;1.051219417;1.256092554;0.550267653;-0.212;4;0;1;9;3;5.82;2.71;0.815460078;0.374405633;1.432064508;0.636
23.11.2025;АнглияПремьер-лига - Тур 12;Лидс;Астон Вилла;;;;;;;;;;;;;;;;;3.5;3.39;2.22;;2;2;1;6;5;6.33;3.18;0.944157645;0.490483331;0.368164066;-0.066;1;2;2;3;5;1.68;4.64;0.966261606;0.257385603;0.537701039;0.264;1;0;3;4;10;5.44;10.74;0.660651242;1.460244155;0.476810867;-0.288;4;0;0;9;4;6.4;3.52;0.891215182;0.516220983;1.81947582;0.52
23.11.2025;АнглияПремьер-лига - Тур 12;Арсенал;Тоттенхэм;;;;;;;;;;;;;;;;;1.5;4.41;7.12;;4;1;0;12;1;9.57;1.79;1.220829453;0.348253394;2.526065239;0.486;4;1;0;12;3;9.67;5.06;1.128659867;1.365767996;0.445944015;0.466;4;1;0;8;2;8.6;1.3;1.09727611;0.229904759;1.647853229;-0.12;2;1;3;8;5;6.96;8.2;1.006562338;1.074148603;0.323539175;0.208
24.11.2025;АнглияПремьер-лига - Тур 12;Манчестер Юнайтед;Эвертон;;;;;;;;;;;;;;;;;1.86;3.71;4.49;;4;0;1;11;6;9.93;6.1;1.516764862;0.928761472;1.5100604;0.214;1;1;3;5;8;4.06;6.24;1.580824144;0.657148357;1.665749346;0.188;3;2;2;12;8;8.81;8.51;1.28930035;1.255846449;2.374406687;0.638;2;1;2;5;9;6.08;8.37;0.864879634;1.31723351;1.518554726;-0.216
